Aggregate rating,Restaurant ID,Country Code,City,Locality,Locality Verbose,Longitude,Latitude,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Restaurant_Name_Length,Name_Word_Count,Name_Has_Number,Name_Uppercase_Ratio,Address_Length,Address_Word_Count,Has_Any_Service,Service_Count,City_Freq_Encoded,Country Code_Freq_Encoded,Cuisines_Freq_Encoded,Rating_Category,High_Rating,Location_Density,Distance_From_Center,Price_Rating_Interaction,Cuisine_Count,Has_North_Indian,Has_Chinese,Has_Fast_Food,Has_Mughlai,Has_Italian
4.0,18182702,162,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",121.0565874,14.23767897,850,Botswana Pula(P),0,0,No,No,3,4.0,Green,Very Good,72,24,4,0,1.0,65,11,0,0,2,22,24.0,Good,1,1,42.57085296611662,12.0,2.0,0,0,0,0,1
4.5,6318213,162,Tagaytay City,Tagaytay City,"Tagaytay City, Tagaytay City",120.951589,14.101834,1200,Botswana Pula(P),1,0,No,No,3,4.5,Dark Green,Excellent,211,10,2,0,1.0,32,4,1,1,1,22,3.0,Excellent,1,1,42.48757851538114,13.5,1.0,0,0,0,0,0
4.5,18255654,162,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.045878,14.55436,600,Botswana Pula(P),0,0,No,No,2,4.5,Dark Green,Excellent,118,26,4,0,1.0,103,15,0,0,4,22,1.0,Excellent,1,1,42.514123123781864,9.0,3.0,0,0,0,0,0
4.4,6308205,162,Taguig City,Bonifacio Global City,"Bonifacio Global City, Taguig City",121.04622,14.549337,1500,Botswana Pula(P),1,0,No,No,4,4.4,Green,Very Good,392,23,4,0,1.0,97,14,1,1,4,22,1.0,Excellent,1,1,42.5151754823871,17.6,4.0,0,0,0,0,1
4.7,6315438,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053725,14.545858,3000,Botswana Pula(P),1,0,No,No,4,4.7,Dark Green,Excellent,535,14,3,0,1.0,92,15,1,1,4,22,1.0,Excellent,1,1,42.52309892326274,18.8,4.0,0,0,0,0,0
4.5,6310406,162,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0534998,14.54565535,1800,Botswana Pula(P),1,0,No,No,4,4.5,Dark Green,Excellent,618,29,6,0,1.0,87,14,1,1,4,22,1.0,Excellent,1,1,42.52290483506687,18.0,4.0,0,0,0,0,1
3.0,6600681,30,Bras�_lia,Asa Norte,"Asa Norte, Bras�_lia",-47.88178889,-15.76414167,55,Brazilian Real(R$),0,0,No,No,2,3.0,Orange,Average,6,11,2,0,1.0,49,9,0,0,20,60,1.0,Average,0,1,131.95252081904945,6.0,2.0,0,0,1,0,0
3.8,6601005,30,Bras�_lia,Asa Norte,"Asa Norte, Bras�_lia",-47.88266667,-15.7775,30,Brazilian Real(R$),0,0,No,No,1,3.8,Yellow,Good,9,19,3,0,1.0,48,9,0,0,20,60,299.0,Good,0,1,131.95704594023547,3.8,1.0,0,0,0,0,0
3.7,6600292,30,Bras�_lia,Asa Norte,"Asa Norte, Bras�_lia",-47.88213611,-15.75747222,45,Brazilian Real(R$),0,0,No,No,2,3.7,Yellow,Good,11,24,4,0,1.0,51,9,0,0,20,60,218.0,Good,0,1,131.9510170764716,7.4,1.0,0,0,0,0,0
3.8,6600441,30,Bras�_lia,Asa Norte,"Asa Norte, Bras�_lia",-47.88816667,-15.75883333,60,Brazilian Real(R$),0,0,No,No,3,3.8,Yellow,Good,11,5,1,0,1.0,47,9,0,0,20,60,9.0,Good,0,1,131.95718925024715,11.399999999999999,1.0,0,0,0,0,0
